Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Extra;Extra_23
;;;;;;;;;;;;;;;;;;2022-01
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;5524.0;1948990122.0;17071.0;2538433979.0;19670.0;5161226233.0;30151.0;3963712385.0;72416.0;13612362720.0;1423.0;12104361544.0;73839.0;25716724263.0;;2022-01
2;60.701.190;ITAÚ UNIBANCO S.A.;7393.0;2294922760.0;27614.0;4245671710.0;30856.0;4046323415.0;33340.0;3704231469.0;99203.0;14291149355.0;747.0;10275632586.0;99950.0;24566781940.0;;2022-01
3;33.479.023;BANCO CITIBANK S.A.;1256.0;1467177376.0;8662.0;1844833564.0;8338.0;8851122685.0;9053.0;6426418371.0;27309.0;18589551996.0;679.0;4477477463.0;27988.0;23067029459.0;;2022-01
4;33.172.537;BANCO J.P. MORGAN S.A.;308.0;474562680.0;2815.0;705000240.0;1361.0;4419135397.0;2137.0;3524940929.0;6621.0;9123639247.0;877.0;6692833245.0;7498.0;15816472491.0;;2022-01
5;00.000.000;BANCO DO BRASIL S.A.;6949.0;2012679460.0;13564.0;1980507622.0;36974.0;1745004386.0;18455.0;3127827991.0;75942.0;8866019460.0;482.0;3524508281.0;76424.0;12390527741.0;;2022-01
6;30.306.294;BANCO BTG PACTUAL S.A.;196.0;378567787.0;1104.0;633078979.0;1519.0;915485010.0;2904.0;1091335475.0;5723.0;3018467252.0;594.0;7969619483.0;6317.0;10988086735.0;;2022-01
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;214.0;361699312.0;1384.0;615082924.0;1452.0;1593207606.0;1933.0;1505267330.0;4983.0;4075257171.0;1730.0;6712780100.0;6713.0;10788037271.0;;2022-01
8;60.746.948;BANCO BRADESCO S.A.;4810.0;2153042652.0;11079.0;1685185075.0;25018.0;1867228041.0;13893.0;1540973088.0;54800.0;7246428857.0;786.0;2966177373.0;55586.0;10212606229.0;;2022-01
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;147.0;458213945.0;512.0;162679823.0;476.0;1981439267.0;656.0;1968324557.0;1791.0;4570657592.0;293.0;1964405502.0;2084.0;6535063094.0;;2022-01
10;03.532.415;BANCO ABN AMRO S.A.;;;;;252.0;2359329006.0;286.0;2191973406.0;538.0;4551302413.0;33.0;730000000.0;571.0;5281302413.0;;2022-01
11;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;;172.0;1882446656.0;110.0;682214524.0;282.0;2564661179.0;131.0;2098580703.0;413.0;4663241882.0;;2022-01
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;1.0;199862045.0;227.0;1059985391.0;212.0;1376885857.0;440.0;2636733293.0;78.0;1999561165.0;518.0;4636294458.0;;2022-01
13;60.498.557;BANCO MUFG BRASIL S.A.;125.0;73089356.0;405.0;46148082.0;266.0;70964548.0;331.0;67420436.0;1127.0;257622421.0;1206.0;4331958835.0;2333.0;4589581256.0;;2022-01
14;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;89.0;133916072.0;555.0;118183531.0;149.0;372148971.0;322.0;335491267.0;1115.0;959739841.0;726.0;3252186227.0;1841.0;4211926068.0;;2022-01
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;6.0;10245825.0;2.0;1380577.0;23.0;76038625.0;51.0;4263054.0;82.0;91928080.0;172.0;3024252387.0;254.0;3116180467.0;;2022-01
