Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Data_Ref
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;3500.0;2147326066.0;18082.0;2138407951.0;17311.0;4321124171.0;32526.0;6501315031.0;71419.0;15108173220.0;1202.0;46958629735.0;72621.0;62066802955.0;2014-00
2;60.701.190;ITAÈ UNIBANCO S.A.;6905.0;1731229952.0;18344.0;2022171244.0;46333.0;5615511687.0;36420.0;6678037010.0;108002.0;16046949893.0;452.0;13574950998.0;108454.0;29621900891.0;2014-00
3;33.479.023;BANCO CITIBANK S.A.;1681.0;1288430768.0;6133.0;1785616802.0;9805.0;9619549755.0;18822.0;9276640601.0;36441.0;21970237925.0;741.0;7487268172.0;37182.0;29457506098.0;2014-00
4;1.701.201;HSBC BANK BRASIL S.A. - BANCO MULTIPLO;2558.0;1365532978.0;9553.0;1662205485.0;11954.0;4102007773.0;24688.0;6600040196.0;48753.0;13729786431.0;669.0;15497210242.0;49422.0;29226996673.0;2014-00
6;00.000.000;BANCO DO BRASIL S.A.;9829.0;4650365168.0;18289.0;4100688870.0;25114.0;2529202797.0;29763.0;4019333287.0;82995.0;15299590122.0;551.0;3513419845.0;83546.0;18813009967.0;2014-00
7;30.306.294;BANCO BTG PACTUAL S.A.;34.0;89511215.0;34.0;144249572.0;434.0;966759544.0;485.0;1377466398.0;987.0;2577986729.0;365.0;15325775417.0;1352.0;17903762147.0;2014-00
8;33.172.537;BANCO J.P. MORGAN S.A.;128.0;550660499.0;1862.0;602198593.0;849.0;2807050365.0;1754.0;6536549646.0;4593.0;10496459103.0;642.0;6931743498.0;5235.0;17428202601.0;2014-00
9;60.746.948;BANCO BRADESCO S.A.;5717.0;2760605124.0;10971.0;1933646826.0;24388.0;1506647925.0;22570.0;1413111420.0;63646.0;7614011295.0;1130.0;6366436815.0;64776.0;13980448110.0;2014-00
10;1.522.368;BANCO BNP PARIBAS BRASIL S.A.;248.0;560023339.0;835.0;321021138.0;644.0;1876735797.0;1762.0;2399733730.0;3489.0;5157514005.0;570.0;8157427809.0;4059.0;13314941814.0;2014-00
11;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;170.0;389731020.0;959.0;410619805.0;434.0;1583295355.0;1124.0;1623524394.0;2687.0;4007170573.0;432.0;5921189751.0;3119.0;9928360324.0;2014-00
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;12.0;48714380.0;135.0;12417713.0;165.0;1322064451.0;314.0;1849065394.0;626.0;3232261939.0;285.0;3446065033.0;911.0;6678326971.0;2014-00
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.;56.0;30823218.0;72.0;42394875.0;185.0;1453673545.0;323.0;1818053220.0;636.0;3344944858.0;92.0;2475402914.0;728.0;5820347772.0;2014-00
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;148.0;255435235.0;648.0;81910820.0;445.0;857428678.0;547.0;280841131.0;1788.0;1475615865.0;783.0;3581336604.0;2571.0;5056952468.0;2014-00
17;61.820.817;BANCO PAULISTA S.A.;59.0;40976049.0;443.0;27673591.0;696.0;418304093.0;1849.0;536507604.0;3047.0;1023461337.0;8902.0;3067998942.0;11949.0;4091460279.0;2014-00
18;59.588.111;BANCO VOTORANTIM S.A.;143.0;296671907.0;1229.0;536251422.0;251.0;161926128.0;787.0;413927851.0;2410.0;1408777308.0;630.0;1483068263.0;3040.0;2891845571.0;2014-00
20;58.160.789;BANCO SAFRA S.A.;169.0;78672568.0;1453.0;169828868.0;991.0;332585163.0;3290.0;539030809.0;5903.0;1120117408.0;167.0;771334123.0;6070.0;1891451531.0;2014-00
21;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;112.0;22968798.0;359.0;108572357.0;292.0;573204288.0;442.0;100944943.0;1205.0;805690386.0;180.0;1027647745.0;1385.0;1833338131.0;2014-00
22;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.;29.0;1582452.0;285.0;13037286.0;183.0;16114240.0;885.0;35810446.0;1382.0;66544425.0;11607.0;1690602815.0;12989.0;1757147239.0;2014-00
